filing_status,rate,min_income,max_income
single,0.01,0,11079
single,0.02,11079,26264
single,0.04,26264,41452
single,0.06,41452,57542
single,0.08,57542,72724
single,0.093,72724,371479
single,0.103,371479,445771
single,0.113,445771,742953
single,0.123,742953,1000000
single,0.133,1000000,
married_jointly,0.01,0,22158
married_jointly,0.02,22158,52528
married_jointly,0.04,52528,82904
married_jointly,0.06,82904,115084
married_jointly,0.08,115084,145448
married_jointly,0.093,145448,742958
married_jointly,0.103,742958,891542
married_jointly,0.113,891542,1000000
married_jointly,0.123,1000000,1485906
married_jointly,0.133,1485906,
