filing_status,rate,min_income,max_income
single,0.01,0,10756
single,0.02,10756,25499
single,0.04,25499,40245
single,0.06,40245,55866
single,0.08,55866,70606
single,0.093,70606,360659
single,0.103,360659,432787
single,0.113,432787,721314
single,0.123,721314,1000000
single,0.133,1000000,
married_jointly,0.01,0,21512
married_jointly,0.02,21512,50998
married_jointly,0.04,50998,80490
married_jointly,0.06,80490,111732
married_jointly,0.08,111732,141212
married_jointly,0.093,141212,721318
married_jointly,0.103,721318,865574
married_jointly,0.113,865574,1000000
married_jointly,0.123,1000000,1442628
married_jointly,0.133,1442628,
